League,Team,Player,Nation,pos_nan_nan,Age,MatchesPlayed,MinutesPlayed,Goals,Assists,Sot%,SoT/90,xG,keyPasses,FinalThirdPasses,PrgP,TklW,Tkl%,BloackPass,Interception
ESP-La Liga,Betis,Ricardo Rodríguez,SUI,DF,32-267,17,1199,0,1,25.0,0.08,0.2,7.0,45.0,59.0,15,65.4,8,6.0
ESP-La Liga,Betis,Rodri,ESP,FW,25-003,3,118,0,0,100.0,1.53,0.2,2.0,4.0,8.0,1,50.0,1,1.0
ESP-La Liga,Betis,Romain Perraud,FRA,DF,27-239,27,1987,2,2,25.0,0.23,0.5,16.0,58.0,61.0,22,45.7,13,21.0
ESP-La Liga,Betis,Sergi Altimira,ESP,MF,23-267,31,1882,0,1,20.0,0.19,1.7,22.0,88.0,98.0,35,58.6,26,21.0
ESP-La Liga,Betis,Vitor Roque,BRA,FW,20-080,22,1235,4,0,43.9,1.31,6.1,12.0,4.0,17.0,6,20.0,5,7.0
ESP-La Liga,Betis,William Carvalho,POR,MF,33-042,13,466,0,0,25.0,0.19,0.2,5.0,40.0,41.0,6,66.7,4,3.0
ESP-La Liga,Betis,Youssouf Sabaly,SEN,DF,32-075,22,1581,0,1,0.0,0.0,0.2,11.0,49.0,62.0,25,75.0,17,13.0
ESP-La Liga,Betis,Ángel Ortíz,ESP,DF,20-298,5,353,0,1,0.0,0.0,0.0,3.0,15.0,15.0,8,47.1,6,5.0
ESP-La Liga,Celta Vigo,Alfon,ESP,"FW,MF",26-015,25,1299,5,2,40.0,1.25,4.5,22.0,7.0,22.0,3,27.3,7,4.0
ESP-La Liga,Celta Vigo,Borja Iglesias,ESP,FW,32-122,36,1880,10,3,59.1,1.24,8.6,18.0,19.0,28.0,9,28.6,6,6.0
ESP-La Liga,Celta Vigo,Carl Starfelt,SWE,DF,29-352,28,2270,1,0,20.0,0.04,0.5,6.0,56.0,66.0,20,66.7,8,31.0
ESP-La Liga,Celta Vigo,Carlos Dominguez,ESP,DF,24-097,18,1091,0,0,33.3,0.08,0.2,2.0,60.0,63.0,11,71.4,5,9.0
ESP-La Liga,Celta Vigo,Damián Rodríguez,ESP,MF,22-063,17,927,0,0,0.0,0.0,0.1,17.0,85.0,71.0,9,37.5,5,7.0
ESP-La Liga,Celta Vigo,Fran Beltrán,ESP,MF,26-105,33,2331,2,1,17.4,0.15,1.0,15.0,131.0,147.0,34,40.4,19,26.0
ESP-La Liga,Celta Vigo,Hugo Sotelo,ESP,MF,21-151,23,1253,0,0,0.0,0.0,0.2,19.0,100.0,83.0,17,43.3,8,5.0
ESP-La Liga,Celta Vigo,Hugo Álvarez,ESP,"MF,DF",21-321,26,1572,4,3,36.0,0.52,2.5,17.0,35.0,60.0,9,52.6,17,8.0
ESP-La Liga,Celta Vigo,Iago Aspas,ESP,"FW,MF",37-291,29,1662,9,4,39.5,0.92,8.5,35.0,73.0,126.0,8,40.0,16,7.0
ESP-La Liga,Celta Vigo,Iker Losada,ESP,"FW,MF",23-291,12,358,1,0,66.7,0.5,1.1,5.0,14.0,17.0,3,20.0,3,1.0
ESP-La Liga,Celta Vigo,Ilaix Moriba,GUI,MF,22-120,32,2043,1,1,29.0,0.4,1.7,20.0,103.0,114.0,39,55.6,24,13.0
ESP-La Liga,Celta Vigo,Jailson Siqueira,BRA,"DF,MF",29-254,13,614,0,0,50.0,0.29,0.1,1.0,33.0,43.0,11,81.8,2,9.0
ESP-La Liga,Celta Vigo,Javi Rodríguez,ESP,DF,21-327,35,2424,3,2,45.5,0.19,2.3,13.0,99.0,104.0,37,70.2,19,32.0
ESP-La Liga,Celta Vigo,Jonathan Bamba,CIV,"FW,MF",29-054,12,811,0,1,46.2,0.67,0.8,12.0,20.0,30.0,7,41.7,6,5.0
ESP-La Liga,Celta Vigo,Marcos Alonso,ESP,DF,34-142,30,2557,3,0,31.0,0.32,3.9,18.0,214.0,206.0,20,55.8,15,34.0
ESP-La Liga,Celta Vigo,Mihailo Ristić,SRB,"DF,MF",29-200,9,422,0,1,0.0,0.0,0.0,4.0,10.0,10.0,6,66.7,1,1.0
ESP-La Liga,Celta Vigo,Pablo Durán,ESP,"FW,MF",23-359,26,1376,4,4,36.0,0.59,3.6,17.0,21.0,30.0,9,26.7,9,8.0
ESP-La Liga,Celta Vigo,Sergio Carreira,ESP,"MF,DF",24-218,22,1566,0,4,25.0,0.17,0.5,15.0,33.0,50.0,16,56.0,17,17.0
ESP-La Liga,Celta Vigo,Williot Swedberg,SWE,"FW,MF",21-107,31,1330,4,4,46.9,1.02,5.2,15.0,16.0,28.0,16,65.0,11,3.0
ESP-La Liga,Celta Vigo,Óscar Mingueza,ESP,"MF,DF",26-006,33,2646,4,6,30.3,0.34,1.5,32.0,168.0,191.0,23,37.3,29,21.0
ESP-La Liga,Espanyol,Alejo Véliz,ARG,FW,21-242,26,1089,1,0,33.3,0.5,2.2,3.0,9.0,8.0,1,16.7,9,4.0
ESP-La Liga,Espanyol,Alex Král,CZE,MF,27-000,36,2683,0,1,9.5,0.07,1.5,12.0,73.0,78.0,37,55.2,20,28.0
ESP-La Liga,Espanyol,Antoniu,ESP,"FW,MF",22-256,26,1022,0,1,40.0,0.35,0.9,7.0,10.0,28.0,10,42.9,12,8.0
ESP-La Liga,Espanyol,Brian Oliván,ESP,DF,31-048,17,1017,0,1,16.7,0.09,0.4,15.0,44.0,40.0,10,30.8,4,10.0
ESP-La Liga,Espanyol,Carlos Romero,ESP,DF,23-202,33,2464,2,1,20.7,0.22,2.0,28.0,46.0,64.0,43,52.6,35,29.0
ESP-La Liga,Espanyol,Edu Expósito,ESP,MF,28-291,18,986,0,2,33.3,0.55,1.0,28.0,35.0,63.0,13,40.9,3,14.0
ESP-La Liga,Espanyol,Fernando Calero,ESP,"DF,MF",29-247,20,625,1,0,50.0,0.14,0.3,3.0,16.0,15.0,9,60.0,6,15.0
ESP-La Liga,Espanyol,Javi Puado,ESP,"FW,MF",26-359,34,2884,11,3,29.2,0.59,10.8,21.0,34.0,71.0,16,42.1,13,5.0
ESP-La Liga,Espanyol,Joan García,ESP,GK,24-015,37,3330,0,0,100.0,0.03,0.1,0.0,22.0,1.0,0,0.0,1,0.0
ESP-La Liga,Espanyol,Jofre,ESP,"MF,FW",23-336,36,2113,3,3,25.6,0.43,2.5,22.0,16.0,46.0,16,56.5,13,15.0
ESP-La Liga,Espanyol,José Gragera,ESP,MF,24-170,10,569,0,0,0.0,0.0,0.0,1.0,14.0,14.0,16,52.9,8,5.0
ESP-La Liga,Espanyol,Leandro Cabrera,URU,DF,33-336,32,2779,4,2,31.6,0.19,1.1,9.0,87.0,66.0,22,56.3,10,30.0
ESP-La Liga,Espanyol,Marash Kumbulla,ALB,DF,25-100,35,2972,3,0,31.3,0.15,1.8,1.0,43.0,71.0,26,58.5,13,34.0
ESP-La Liga,Espanyol,Naci Ünüvar,NED,"MF,DF",21-340,2,31,0,0,0.0,0.0,0.0,1.0,1.0,1.0,2,50.0,0,0.0
ESP-La Liga,Espanyol,Omar El Hilali,MAR,DF,21-249,35,3063,0,2,0.0,0.0,0.0,8.0,78.0,83.0,79,67.7,40,45.0
ESP-La Liga,Espanyol,Pere Milla,ESP,"MF,FW",32-238,19,411,2,0,44.4,0.88,0.7,3.0,9.0,12.0,2,6.7,8,3.0
ESP-La Liga,Espanyol,Pol Lozano,ESP,MF,25-225,29,1898,0,1,25.0,0.09,0.2,17.0,92.0,113.0,34,44.6,25,21.0
ESP-La Liga,Espanyol,Rafael Bauza,ESP,MF,20-109,5,183,0,0,0.0,0.0,0.1,0.0,3.0,7.0,3,57.1,2,0.0
ESP-La Liga,Espanyol,Roberto Férnandez,ESP,FW,22-320,18,1419,6,0,45.0,0.57,3.4,7.0,9.0,16.0,4,0.0,7,3.0
ESP-La Liga,Espanyol,Sergi Gómez,ESP,DF,33-052,11,652,0,0,50.0,0.14,0.3,0.0,3.0,8.0,5,66.7,4,7.0
ESP-La Liga,Espanyol,Urko González,ESP,MF,24-060,1,45,0,0,50.0,0.14,0.5,0.0,0.0,1.0,25,62.5,15,8.0
ESP-La Liga,Espanyol,Walid Cheddira,MAR,FW,27-117,1,12,0,0,30.8,0.56,1.0,1.0,1.0,1.0,0,0.0,4,1.0
ESP-La Liga,Espanyol,Álvaro Aguado,ESP,MF,29-018,15,431,0,1,0.0,0.0,0.4,4.0,31.0,36.0,2,25.0,5,4.0
ESP-La Liga,Espanyol,Álvaro Tejero,ESP,"MF,DF",28-303,28,1238,1,4,23.5,0.29,0.6,33.0,26.0,46.0,4,30.4,8,13.0
ESP-La Liga,Getafe,Abdoulaye Keita,ESP,"FW,MF",22-260,3,95,0,0,0.0,0.0,0.0,0.0,3.0,2.0,2,50.0,1,0.0
ESP-La Liga,Getafe,Alberto Risco,ESP,"MF,FW",19-262,5,69,0,0,25.0,1.3,0.2,4.0,1.0,3.0,4,16.7,2,0.0
ESP-La Liga,Getafe,Alex Sola,ESP,"MF,FW",25-344,19,1029,0,1,13.3,0.17,1.0,9.0,12.0,23.0,14,36.0,8,7.0
ESP-La Liga,Getafe,Allan Nyom,CMR,"DF,MF",37-009,19,797,1,2,44.4,0.45,0.5,5.0,23.0,22.0,9,85.7,2,5.0
ESP-La Liga,Getafe,Bertuğ Yıldırım,TUR,FW,22-311,21,1071,1,0,36.8,0.59,2.5,9.0,9.0,14.0,5,28.6,11,1.0
ESP-La Liga,Getafe,Borja Mayoral,ESP,FW,28-044,23,1036,4,1,41.2,0.61,3.2,7.0,11.0,12.0,4,37.5,4,1.0
ESP-La Liga,Getafe,Carles Aleñá,ESP,"MF,FW",27-134,10,452,0,0,20.0,0.2,0.9,3.0,9.0,12.0,3,30.8,8,0.0
ESP-La Liga,Getafe,Carles Pérez,ESP,"MF,FW",27-092,27,1431,3,0,26.5,0.57,2.4,17.0,17.0,20.0,23,43.8,17,6.0
ESP-La Liga,Getafe,Chrisantus Uche,NGA,"FW,MF",22-000,32,2403,4,5,28.6,0.52,3.7,28.0,36.0,47.0,20,43.8,17,10.0
ESP-La Liga,Getafe,Coba da Costa,ESP,"MF,FW",22-297,18,999,1,1,34.8,0.72,1.1,9.0,14.0,16.0,13,50.0,24,8.0
ESP-La Liga,Getafe,Diego Rico,ESP,DF,32-085,32,2729,0,3,18.8,0.1,0.4,34.0,112.0,134.0,48,56.6,37,33.0
ESP-La Liga,Getafe,Djené,TOG,"DF,MF",33-139,30,2458,0,0,0.0,0.0,0.3,9.0,75.0,73.0,13,38.7,10,21.0
ESP-La Liga,Getafe,Domingos Duarte,POR,DF,30-070,21,1770,1,0,33.3,0.05,0.2,2.0,42.0,47.0,13,78.9,11,15.0
ESP-La Liga,Getafe,Iglesias,ESP,DF,26-320,36,2798,0,1,14.3,0.1,1.6,20.0,80.0,82.0,47,51.7,39,48.0
ESP-La Liga,Getafe,Jesús Santiago,ESP,MF,20-359,18,327,0,0,0.0,0.0,0.0,0.0,9.0,12.0,8,55.6,4,1.0
ESP-La Liga,Getafe,Juan Berrocal,ESP,DF,26-015,18,1018,0,0,0.0,0.0,0.4,1.0,20.0,24.0,7,71.4,3,13.0
ESP-La Liga,Getafe,Juanmi,ESP,"FW,MF",31-364,12,664,0,0,46.2,0.81,2.9,4.0,3.0,8.0,11,37.5,6,2.0
ESP-La Liga,Getafe,Luis Milla,ESP,MF,30-224,33,2875,1,4,22.6,0.22,1.8,70.0,149.0,152.0,40,48.6,25,24.0
ESP-La Liga,Getafe,Mauro Arambarri,URU,MF,29-231,34,2603,10,0,30.2,0.55,8.1,17.0,73.0,73.0,26,44.7,28,14.0
ESP-La Liga,Getafe,Nabil Aberdin,FRA,MF,22-269,7,263,0,0,0.0,0.0,0.0,1.0,7.0,6.0,4,100.0,3,0.0
ESP-La Liga,Getafe,Omar Alderete,PAR,DF,28-144,34,2971,1,0,26.3,0.3,1.7,11.0,132.0,111.0,28,66.7,16,40.0
ESP-La Liga,Getafe,Peter González,DOM,"MF,FW",22-298,17,477,0,0,33.3,0.75,1.3,4.0,1.0,6.0,6,66.7,8,2.0
ESP-La Liga,Getafe,Álvaro Rodríguez,URU,FW,20-309,22,852,2,0,40.0,1.06,1.2,5.0,15.0,13.0,7,50.0,23,3.0
ESP-La Liga,Girona,Abel Ruiz,ESP,FW,25-111,22,1328,4,0,33.3,0.47,4.6,8.0,15.0,24.0,2,40.0,5,5.0
ESP-La Liga,Girona,Alejandro Francés,ESP,DF,22-291,17,1110,0,0,0.0,0.0,0.2,4.0,61.0,59.0,24,69.2,9,16.0
ESP-La Liga,Girona,Arnau Martinez,ESP,"DF,MF",22-024,31,2534,2,2,31.6,0.21,1.2,18.0,149.0,155.0,28,52.5,11,29.0
ESP-La Liga,Girona,Arthur Melo,BRA,MF,28-280,14,869,0,0,16.7,0.1,0.2,5.0,67.0,66.0,11,53.8,4,7.0
ESP-La Liga,Girona,Bojan Miovski,MKD,FW,25-329,17,869,2,1,28.6,0.41,2.7,4.0,2.0,4.0,5,28.6,4,2.0
ESP-La Liga,Girona,Bryan Gil,ESP,"FW,MF",24-097,25,1721,3,3,46.9,0.78,2.3,21.0,27.0,74.0,20,46.7,24,10.0
ESP-La Liga,Girona,Cristhian Stuani,URU,FW,38-219,31,990,11,2,51.6,1.45,8.1,6.0,0.0,8.0,7,62.5,3,5.0
ESP-La Liga,Girona,Daley Blind,NED,DF,35-071,33,2690,0,2,44.4,0.13,0.5,19.0,299.0,263.0,26,63.0,22,28.0
ESP-La Liga,Girona,David López,ESP,DF,35-222,1,79,0,0,25.0,0.11,0.9,0.0,0.0,2.0,1,100.0,0,1.0
ESP-La Liga,Girona,Donny van de Beek,NED,MF,28-031,26,1421,2,2,27.8,0.32,1.5,18.0,21.0,45.0,18,50.0,16,10.0
ESP-La Liga,Girona,Gabriel Osei Misehouy,NED,"FW,MF",19-305,9,257,1,0,33.3,0.7,0.9,4.0,11.0,15.0,1,0.0,0,0.0
ESP-La Liga,Girona,Iker Almena,ESP,"FW,DF",21-015,2,48,0,1,0.0,0.0,0.0,2.0,0.0,2.0,0,0.0,1,0.0
ESP-La Liga,Girona,Iván Martín,ESP,MF,26-094,31,2012,1,1,27.3,0.13,1.7,22.0,101.0,129.0,19,44.1,13,11.0
ESP-La Liga,Girona,Jhon Solis,COL,MF,20-228,18,533,1,0,25.0,0.17,0.7,2.0,28.0,29.0,7,42.9,12,4.0
ESP-La Liga,Girona,Juanpe,ESP,DF,34-019,11,700,0,0,0.0,0.0,0.1,3.0,30.0,26.0,5,75.0,5,8.0
ESP-La Liga,Girona,Ladislav Krejčí,CZE,DF,26-029,27,2350,2,0,27.8,0.19,1.7,8.0,149.0,143.0,15,50.0,5,34.0
ESP-La Liga,Girona,Miguel Gutiérrez,ESP,"DF,MF",23-296,29,2458,1,5,32.1,0.33,1.6,41.0,59.0,103.0,24,45.9,10,16.0
ESP-La Liga,Girona,Oriol Romeu,ESP,MF,33-237,24,1338,0,0,20.0,0.07,0.1,8.0,80.0,73.0,23,53.8,14,13.0
ESP-La Liga,Girona,Portu,ESP,"FW,MF",32-363,26,716,1,2,37.5,0.38,1.6,13.0,10.0,15.0,7,70.0,7,0.0
ESP-La Liga,Girona,Silvi Clúa,ESP,MF,20-110,4,163,0,0,50.0,0.55,0.0,1.0,3.0,3.0,7,66.7,1,2.0
ESP-La Liga,Girona,Viktor Tsyhankov,UKR,"FW,MF",27-185,26,1823,2,5,25.7,0.44,2.8,33.0,36.0,64.0,11,44.4,5,14.0
ESP-La Liga,Girona,Yangel Herrera,VEN,MF,27-125,28,2185,4,3,34.2,0.54,3.6,17.0,95.0,110.0,39,52.6,16,29.0
ESP-La Liga,Girona,Yaser Asprilla,COL,"FW,MF",21-181,26,1315,3,1,28.9,0.75,2.1,23.0,34.0,74.0,11,31.8,13,6.0
ESP-La Liga,Las Palmas,Adnan Januzaj,BEL,"FW,MF",30-103,17,553,2,1,31.3,0.81,0.8,14.0,24.0,35.0,6,62.5,6,2.0
ESP-La Liga,Las Palmas,Alberto Moleiro,ESP,"FW,MF",21-231,35,2714,6,1,35.3,0.8,5.6,41.0,75.0,116.0,12,37.5,24,18.0
ESP-La Liga,Las Palmas,Andy Pelmard,FRA,DF,25-068,3,129,0,0,0.0,0.0,0.0,0.0,0.0,1.0,6,100.0,1,0.0
ESP-La Liga,Las Palmas,Benito Ramírez,ESP,"DF,MF",29-312,18,433,0,0,12.5,0.21,0.3,12.0,11.0,16.0,5,56.3,4,1.0
ESP-La Liga,Las Palmas,Dario Essugo,POR,MF,20-066,26,1869,1,0,17.4,0.19,0.7,13.0,72.0,68.0,44,60.0,17,42.0
ESP-La Liga,Las Palmas,Enzo Loiodice,FRA,MF,24-173,16,594,0,0,60.0,0.45,0.2,4.0,25.0,27.0,5,30.0,3,5.0
ESP-La Liga,Las Palmas,Fabio González,ESP,MF,28-096,2,53,0,0,0.0,0.0,0.1,0.0,5.0,6.0,0,0.0,0,0.0
ESP-La Liga,Las Palmas,Fábio Silva,POR,FW,22-304,24,1866,10,3,43.5,0.96,8.8,16.0,13.0,26.0,7,28.6,12,4.0
ESP-La Liga,Las Palmas,Jaime Mata,ESP,"FW,MF",36-207,29,577,0,0,33.3,0.78,2.5,3.0,7.0,9.0,2,33.3,4,3.0
ESP-La Liga,Las Palmas,Javier Muñoz,ESP,"MF,DF",30-080,35,2588,1,3,24.0,0.21,1.3,29.0,115.0,108.0,35,34.8,23,31.0
ESP-La Liga,Las Palmas,José Campaña,ESP,MF,31-353,25,1189,0,3,60.0,0.23,0.1,14.0,72.0,87.0,16,55.0,8,19.0
ESP-La Liga,Las Palmas,Juan Herzog,ESP,DF,22-006,18,1236,0,0,9.1,0.07,0.8,0.0,16.0,26.0,11,56.3,6,17.0
ESP-La Liga,Las Palmas,Kirian Rodríguez,ESP,MF,29-075,21,1758,0,3,38.1,0.41,1.6,16.0,106.0,128.0,17,51.2,18,10.0
ESP-La Liga,Las Palmas,Manuel Fuster,ESP,"FW,MF",27-209,27,913,2,1,35.3,0.59,0.7,25.0,54.0,67.0,11,55.6,10,4.0
ESP-La Liga,Las Palmas,Marc Cardona,ESP,"FW,DF",29-315,11,132,0,0,0.0,0.0,0.4,0.0,4.0,3.0,2,0.0,0,0.0
ESP-La Liga,Las Palmas,Marvin,ESP,"DF,FW",24-320,22,948,0,0,0.0,0.0,0.2,6.0,22.0,25.0,12,40.0,10,13.0
ESP-La Liga,Las Palmas,Mika Mármol,ESP,DF,23-322,29,2309,0,1,0.0,0.0,0.4,16.0,113.0,100.0,28,65.4,31,38.0
ESP-La Liga,Las Palmas,Oliver McBurnie,SCO,FW,28-349,33,1826,3,6,37.5,0.59,4.8,24.0,23.0,27.0,7,41.7,10,6.0
ESP-La Liga,Las Palmas,Pejiño,ESP,FW,28-294,1,16,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,100.0,0,0.0
ESP-La Liga,Las Palmas,Sandro Ramírez,ESP,"FW,MF",29-314,31,2034,9,3,39.2,0.88,4.1,28.0,33.0,52.0,15,43.3,20,16.0
ESP-La Liga,Las Palmas,Scott McKenna,SCO,DF,28-188,28,2376,0,0,0.0,0.0,1.1,4.0,50.0,44.0,13,75.0,8,9.0
ESP-La Liga,Las Palmas,Sergio Viera,ESP,MF,20-011,1,36,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,1,0.0
ESP-La Liga,Las Palmas,Stefan Bajcetic,ESP,"MF,DF",20-209,14,969,1,0,40.0,0.19,0.3,7.0,28.0,39.0,14,42.9,21,15.0
ESP-La Liga,Las Palmas,Viti,ESP,DF,27-245,29,1982,0,2,66.7,0.09,0.1,12.0,40.0,44.0,46,68.9,21,27.0
ESP-La Liga,Las Palmas,Álex Muñoz,ESP,DF,30-293,21,1415,3,0,55.6,0.32,0.9,7.0,34.0,45.0,29,55.3,17,16.0
ESP-La Liga,Las Palmas,Álex Suárez,ESP,DF,32-062,30,2460,0,0,50.0,0.11,0.5,3.0,50.0,53.0,23,74.1,15,13.0
ESP-La Liga,Leganés,Adrià Altimira,ESP,"DF,FW",24-052,21,1540,0,0,33.3,0.12,0.3,10.0,30.0,41.0,23,60.5,8,15.0
ESP-La Liga,Leganés,Aritz Arambarri,ESP,DF,27-108,2,177,0,0,0.0,0.0,0.0,0.0,1.0,2.0,1,100.0,0,3.0
ESP-La Liga,Leganés,Dani Raba,ESP,"FW,MF",29-202,28,1805,8,6,28.6,0.5,7.2,45.0,45.0,64.0,23,42.5,24,14.0
ESP-La Liga,Leganés,Darko Brašanac,SRB,MF,33-096,29,1600,1,2,25.0,0.17,1.8,9.0,28.0,43.0,11,52.9,13,16.0
ESP-La Liga,Leganés,Diego,ESP,FW,25-031,27,1167,3,0,32.1,0.69,3.7,6.0,8.0,16.0,1,14.3,3,2.0
ESP-La Liga,Leganés,Duk,CPV,"MF,FW",25-092,9,151,0,0,50.0,0.6,0.0,4.0,0.0,3.0,3,60.0,3,1.0
ESP-La Liga,Leganés,Enric Franquesa,ESP,"DF,FW",28-082,12,616,1,0,33.3,0.15,0.3,2.0,5.0,12.0,9,69.2,6,5.0
ESP-La Liga,Leganés,Javi Hernández,ESP,DF,27-017,30,2299,1,1,28.6,0.16,0.6,17.0,52.0,75.0,15,36.4,20,23.0
ESP-La Liga,Leganés,Jorge Sáenz,ESP,DF,28-183,22,1600,1,0,37.5,0.17,1.3,2.0,34.0,35.0,21,57.9,9,25.0
ESP-La Liga,Leganés,Juan Cruz,ESP,"FW,MF",25-024,33,2167,4,4,40.6,0.54,1.8,23.0,31.0,61.0,19,50.0,12,11.0
ESP-La Liga,Leganés,Julián Chicco,ARG,"MF,DF",27-126,13,294,0,1,33.3,0.31,0.5,2.0,10.0,16.0,7,62.5,2,3.0
ESP-La Liga,Leganés,Matija Nastasić,SRB,DF,32-052,26,2110,1,0,50.0,0.04,0.1,2.0,37.0,59.0,11,68.0,9,21.0
ESP-La Liga,Leganés,Miguel,ESP,FW,25-258,33,1708,1,3,42.4,0.74,4.9,7.0,9.0,16.0,7,28.6,11,4.0
ESP-La Liga,Leganés,Munir El Haddadi,MAR,"FW,MF",29-260,24,800,4,0,42.9,1.01,1.6,7.0,19.0,27.0,9,25.0,7,1.0
ESP-La Liga,Leganés,Renato Tapia,PER,"MF,DF",29-295,33,2342,1,0,46.2,0.23,0.6,8.0,74.0,75.0,34,47.9,35,27.0
ESP-La Liga,Leganés,Roberto López,ESP,MF,25-025,13,396,0,1,16.7,0.23,0.5,10.0,22.0,20.0,6,33.3,5,1.0
ESP-La Liga,Leganés,Sergi,ESP,DF,33-029,35,2867,2,0,38.5,0.16,1.5,5.0,58.0,77.0,28,54.8,9,39.0
ESP-La Liga,Leganés,Seydouba Cissé,GUI,MF,24-098,33,2362,3,0,22.7,0.19,2.8,15.0,81.0,106.0,36,48.9,24,12.0
ESP-La Liga,Leganés,Sébastien Haller,CIV,FW,30-331,8,404,0,0,25.0,0.22,0.4,1.0,4.0,4.0,0,50.0,1,0.0
ESP-La Liga,Leganés,Valentin Rosier,FRA,DF,28-273,32,2595,1,2,28.6,0.14,0.9,11.0,72.0,74.0,52,63.2,25,52.0
ESP-La Liga,Leganés,Yan Diomandé,CIV,"MF,FW",18-186,9,483,1,0,25.0,0.37,0.9,11.0,4.0,13.0,5,18.2,8,7.0
ESP-La Liga,Leganés,Yvan Neyou,CMR,MF,28-136,30,2312,1,1,18.8,0.12,0.6,13.0,86.0,96.0,33,46.8,30,26.0
ESP-La Liga,Leganés,Óscar Rodríguez Arnaiz,ESP,"MF,FW",26-325,29,1330,1,4,18.2,0.41,2.1,19.0,31.0,60.0,17,43.8,9,20.0
ESP-La Liga,Mallorca,Abdón Prats,ESP,"FW,MF",32-163,24,456,2,0,30.8,0.79,2.2,3.0,5.0,7.0,1,50.0,1,1.0
ESP-La Liga,Mallorca,Antonio Raillo,ESP,DF,33-223,35,3117,2,0,22.9,0.23,2.0,12.0,83.0,104.0,17,77.8,11,28.0
ESP-La Liga,Mallorca,Antonio Sánchez,ESP,"MF,DF",28-138,32,1324,0,0,12.5,0.14,1.0,5.0,35.0,37.0,16,43.8,12,17.0
ESP-La Liga,Mallorca,Chiquinho,POR,"MF,FW",25-103,8,146,0,0,50.0,1.23,0.3,2.0,0.0,1.0,0,0.0,3,2.0
ESP-La Liga,Mallorca,Copete,ESP,DF,25-221,25,1528,0,0,33.3,0.12,0.5,0.0,35.0,47.0,17,91.7,8,17.0
ESP-La Liga,Mallorca,Cyle Larin,CAN,FW,30-032,31,1738,7,2,35.1,0.67,6.8,8.0,10.0,19.0,6,37.5,9,1.0
ESP-La Liga,Mallorca,Dani Rodríguez,ESP,"MF,FW",36-347,36,2143,4,7,32.3,0.42,2.8,33.0,42.0,78.0,29,51.9,19,12.0
ESP-La Liga,Mallorca,Jan Salas,ESP,MF,19-282,3,24,0,0,0.0,0.0,0.1,0.0,3.0,1.0,1,100.0,0,0.0
ESP-La Liga,Mallorca,Johan Mojica,COL,DF,32-271,35,2743,1,2,18.8,0.1,0.9,40.0,101.0,129.0,23,47.5,8,26.0
ESP-La Liga,Mallorca,Manu Morlanes,ESP,MF,26-127,22,1312,0,0,9.1,0.07,0.6,10.0,84.0,88.0,27,60.0,11,24.0
ESP-La Liga,Mallorca,Marc Domenech,ESP,"FW,MF",19-138,9,232,0,0,14.3,0.39,0.5,5.0,0.0,3.0,3,50.0,2,0.0
ESP-La Liga,Mallorca,Martin Valjent,SVK,DF,29-159,31,2763,3,0,41.7,0.16,0.8,4.0,84.0,91.0,21,60.0,11,18.0
ESP-La Liga,Mallorca,Mateu Morey,ESP,DF,25-078,15,651,0,0,33.3,0.14,0.4,4.0,13.0,16.0,16,55.0,10,12.0
ESP-La Liga,Mallorca,Omar Mascarell,EQG,MF,32-106,31,1928,1,0,22.2,0.09,0.5,3.0,69.0,71.0,13,41.2,12,50.0
ESP-La Liga,Mallorca,Pablo Maffeo,ESP,DF,27-311,30,2368,0,2,14.3,0.04,0.3,29.0,49.0,74.0,40,73.9,21,25.0
ESP-La Liga,Mallorca,Roberto Navarro,ESP,"MF,FW",23-037,23,1278,1,0,33.3,0.42,2.0,13.0,27.0,51.0,22,47.4,18,19.0
ESP-La Liga,Mallorca,Samu Costa,POR,MF,24-173,31,2559,0,2,27.6,0.28,1.8,14.0,112.0,112.0,42,42.7,30,32.0
ESP-La Liga,Mallorca,Sergi Darder,ESP,"MF,FW",31-148,37,2654,2,6,25.7,0.31,2.0,52.0,116.0,136.0,24,37.2,18,15.0
ESP-La Liga,Mallorca,Takuma Asano,JPN,"FW,MF",30-190,21,1054,2,1,28.6,0.68,2.7,6.0,8.0,20.0,9,54.5,7,6.0
ESP-La Liga,Mallorca,Valery Fernández,ESP,"MF,FW",25-177,18,309,2,0,100.0,0.87,0.8,1.0,4.0,5.0,7,71.4,2,0.0
ESP-La Liga,Mallorca,Vedat Muriqi,KVX,FW,31-025,28,1994,7,2,32.7,0.72,9.5,25.0,23.0,30.0,5,42.9,5,7.0
ESP-La Liga,Osasuna,Abel,ESP,DF,24-271,34,2042,2,0,36.4,0.18,0.5,15.0,55.0,71.0,35,62.7,25,18.0
ESP-La Liga,Osasuna,Aimar Oroz,ESP,MF,23-173,36,2876,5,4,32.6,0.47,4.2,39.0,88.0,159.0,18,31.1,25,20.0
ESP-La Liga,Osasuna,Ante Budimir,CRO,FW,33-301,37,2862,21,4,31.0,0.85,18.0,16.0,12.0,24.0,9,23.1,15,2.0
ESP-La Liga,Osasuna,Bryan Zaragoza,ESP,"FW,MF",24-024,26,1755,1,6,31.7,0.67,2.7,33.0,21.0,46.0,9,28.6,10,4.0
ESP-La Liga,Osasuna,Catena,ESP,DF,30-203,34,2984,1,2,26.3,0.15,1.9,7.0,65.0,84.0,28,62.8,14,34.0
