League,Team,Player,Nation,Age,MatchesPlayed,MinutesPlayed,GoalAgainstPer90,Saves,Save%,CleanSheet,CleanSheet%,Season
FRA-Ligue 1,Montpellier,Benjamin Lecomte,FRA,34-023,30,2700,2.27,107,64.2,1,3.3,2425
ITA-Serie A,Genoa,Benjamin Siegrist,SUI,33-108,1,90,2.0,8,80.0,0,0.0,2425
ENG-Premier League,Fulham,Bernd Leno,GER,33-076,37,3330,1.41,103,67.5,5,13.5,2425
ENG-Premier League,Tottenham,Brandon Austin,ENG,26-131,1,90,2.0,2,50.0,0,0.0,2425
FRA-Ligue 1,Lens,Brice Samba,FRA,31-024,15,1350,0.93,40,81.5,7,46.7,2425
FRA-Ligue 1,Rennes,Brice Samba,FRA,31-024,17,1529,1.59,58,70.1,5,29.4,2425
ENG-Premier League,Liverpool,Caoimhín Kelleher,IRL,26-177,10,900,1.2,24,67.6,4,40.0,2425
ENG-Premier League,Ipswich Town,Christian Walton,ENG,29-191,6,540,2.67,17,57.6,1,16.7,2425
ITA-Serie A,Lazio,Christos Mandas,GRE,23-244,8,720,0.75,18,75.0,4,50.0,2425
ESP-La Liga,Rayo Vallecano,Cárdenas,ESP,28-052,6,540,1.0,14,70.0,2,33.3,2425
ENG-Premier League,Wolves,Daniel Bentley,ENG,31-310,1,90,0.0,2,100.0,1,100.0,2425
GER-Bundesliga,Bayern Munich,Daniel Peretz,ISR,24-313,3,270,1.67,2,28.6,0,0.0,2425
ITA-Serie A,Udinese,Daniele Padelli,ITA,39-206,1,90,0.0,3,100.0,1,100.0,2425
ENG-Premier League,Leicester City,Danny Ward,WAL,31-331,2,135,4.0,4,40.0,0,0.0,2425
ENG-Premier League,Arsenal,David Raya,ESP,29-246,37,3330,0.89,85,74.6,13,35.1,2425
ESP-La Liga,Getafe,David Soria,ESP,32-045,37,3330,1.0,80,75.4,9,24.3,2425
ITA-Serie A,Fiorentina,David de Gea,ESP,34-193,34,3060,1.06,95,73.5,11,32.4,2425
ENG-Premier League,Crystal Palace,Dean Henderson,ENG,28-068,36,3240,1.33,98,67.4,11,30.6,2425
ITA-Serie A,Empoli,Devis Vásquez,COL,27-007,31,2790,1.39,79,65.9,6,19.4,2425
ESP-La Liga,Villarreal,Diego Conde,ESP,26-203,21,1872,1.49,58,68.2,2,9.5,2425
FRA-Ligue 1,Montpellier,Dimitry Bertaud,COD,26-347,4,360,2.75,10,57.1,0,0.0,2425
ESP-La Liga,Las Palmas,Dinko Horkaš,CRO,26-070,12,995,1.54,34,66.7,1,10.0,2425
ESP-La Liga,Mallorca,Dominik Greif,SVK,28-043,30,2700,1.13,75,70.4,6,20.0,2425
FRA-Ligue 1,Auxerre,Donovan Léon,GUF,32-197,32,2880,1.5,118,73.8,9,28.1,2425
ENG-Premier League,Manchester City,Ederson,BRA,31-275,24,2140,1.05,49,68.5,9,37.5,2425
ITA-Serie A,Cagliari,Elia Caprile,ITA,23-267,18,1620,1.22,44,68.2,5,27.8,2425
ITA-Serie A,Napoli,Elia Caprile,ITA,23-267,4,325,0.28,7,87.5,3,100.0,2425
ITA-Serie A,Como,Emil Audero,IDN,28-121,8,720,2.25,16,58.8,0,0.0,2425
ENG-Premier League,Aston Villa,Emiliano Martínez,ARG,32-259,36,3150,1.29,91,67.9,8,22.2,2425
ITA-Serie A,Bologna,Federico Ravaglia,ITA,25-189,11,966,1.02,10,52.4,4,40.0,2425
ENG-Premier League,Chelsea,Filip Jørgensen,DEN,23-033,6,540,1.5,19,71.4,1,16.7,2425
ITA-Serie A,Venezia,Filip Stankovic,SRB,23-083,16,1367,1.51,60,77.1,0,0.0,2425
GER-Bundesliga,Augsburg,Finn Dahmen,GER,27-053,19,1710,1.0,65,79.3,9,47.4,2425
GER-Bundesliga,Freiburg,Florian Müller,GER,27-187,9,753,1.91,15,53.3,1,12.5,2425
ESP-La Liga,Real Madrid,Fran,ESP,19-329,1,90,2.0,0,0.0,0,0.0,2425
ESP-La Liga,Betis,Fran Vieites,ESP,26-012,4,360,1.25,6,54.5,0,0.0,2425
GER-Bundesliga,Heidenheim,Frank Feller,GER,21-132,2,121,0.0,2,100.0,2,200.0,2425
ENG-Premier League,Tottenham,Fraser Forster,ENG,37-063,7,630,2.14,27,69.0,1,14.3,2425
GER-Bundesliga,Union Berlin,Frederik Rønnow,DEN,32-288,28,2520,1.32,71,67.6,8,28.6,2425
FRA-Ligue 1,Saint-Étienne,Gautier Larsonneur,FRA,28-085,34,3060,2.26,132,69.4,5,14.7,2425
FRA-Ligue 1,Marseille,Gerónimo Rulli,ARG,32-364,34,3060,1.38,87,67.4,5,14.7,2425
FRA-Ligue 1,Paris S-G,Gianluigi Donnarumma,ITA,26-083,24,2091,1.08,49,67.6,4,16.7,2425
ESP-La Liga,Valencia,Giorgi Mamardashvili,GEO,24-232,33,2970,1.42,86,68.2,8,24.2,2425
